,pop_F,pop_M,pop_MF,hholds,fullname,leaf_value1
1824,16308,15512,31820,10725,อภ.บางไทร,1
1825,21080,20402,41482,9545,อภ.บาเจาะ,1
1826,20565,20121,40686,13633,อภ.บำเหน็จณรงค์,1
1827,14699,14126,28825,10875,อภ.บึงนาราง,1
1828,2178,2180,4358,1085,อภ.บึงบูรพ์,1
1829,31702,31058,62760,25826,อภ.บึงสามพัน,1
1830,9165,9105,18270,7337,อภ.บึงสามัคคี,1
1831,13869,14073,27942,8992,อภ.บึงโขงหลง,1
1832,38400,39480,77880,24554,อภ.บุณฑริก,1
1833,7025,7029,14054,4265,อภ.บุ่งคล้า,1
1834,18737,18982,37719,13607,อภ.บ่อทอง,1
1835,24145,24105,48250,18764,อภ.บ่อพลอย,1
1836,7497,7819,15316,5041,อภ.บ่อเกลือ,1
1837,8961,9599,18560,7665,อภ.บ่อไร่,1
1838,20573,20421,40994,11451,อภ.บ้านกรวด,1
1839,12389,12911,25300,9724,อภ.บ้านคา,1
1840,34472,32742,67214,35377,อภ.บ้านค่าย,1
1841,5082,5546,10628,4828,อภ.บ้านฉาง,1
1842,55749,55893,111642,32855,อภ.บ้านดุง,1
1843,9541,9264,18805,4615,อภ.บ้านด่าน,1
1844,22186,22111,44297,14540,อภ.บ้านด่านลานหอย,1
1845,15787,15545,31332,10961,อภ.บ้านตาก,1
1846,4592,4563,9155,3960,อภ.บ้านตาขุน,1
1847,4225,3855,8080,3416,อภ.บ้านธิ,1
1848,32279,32196,64475,24429,อภ.บ้านนา,1
1849,25768,25133,50901,18419,อภ.บ้านนาสาร,1
1850,10542,10345,20887,7797,อภ.บ้านนาเดิม,1
1851,42399,41131,83530,46182,อภ.บ้านบึง,1
1852,51065,51167,102232,31259,อภ.บ้านผือ,1
1853,25310,25069,50379,17432,อภ.บ้านฝาง,1
1854,33445,33987,67432,20127,อภ.บ้านม่วง,1
1855,25188,23023,48211,15936,อภ.บ้านลาด,1
1856,14080,13551,27631,9746,อภ.บ้านสร้าง,1
1857,16204,15359,31563,12473,อภ.บ้านหมอ,1
1858,35865,33150,69015,25240,อภ.บ้านหมี่,1
1859,5726,5785,11511,3971,อภ.บ้านหลวง,1
1860,21307,20877,42184,14760,อภ.บ้านเขว้า,1
1861,8677,8550,17227,5169,อภ.บ้านเหลื่อม,1
1862,20645,20358,41003,11748,อภ.บ้านแท่น,1
1863,13186,13402,26588,8193,อภ.บ้านแพง,1
1864,3657,3169,6826,2685,อภ.บ้านแพรก,1
1865,26136,24026,50162,15917,อภ.บ้านแพ้ว,1
1866,18491,17721,36212,11719,อภ.บ้านแหลม,1
1867,13185,12935,26120,8346,อภ.บ้านแฮด,1
1868,5187,5331,10518,4516,อภ.บ้านโคก,1
1869,50614,46425,97039,37564,อภ.บ้านโป่ง,1
1870,23937,22280,46217,21160,อภ.บ้านโพธิ์,1
1871,13248,12610,25858,10335,อภ.บ้านโฮ่ง,1
1872,11214,10898,22112,6102,อภ.บ้านใหม่ไชยพจน์,1
1873,36493,35852,72345,23118,อภ.บ้านไผ่,1
1874,31872,31556,63428,24918,อภ.บ้านไร่,1
1875,19648,19722,39370,12537,อภ.ปง,1
1876,23834,23452,47286,12971,อภ.ปทุมรัตต์,1
1877,22690,22955,45645,13643,อภ.ปทุมราชวงศา,1
1878,12747,12789,25536,7330,อภ.ประจักษ์ศิลปาคม,1
1879,25632,24342,49974,17345,อภ.ประจันตคาม,1
1880,35888,35370,71258,19681,อภ.ประทาย,1
1881,62937,62388,125325,36671,อภ.ประโคนชัย,1
1882,31876,31646,63522,15263,อภ.ปรางค์กู่,1
1883,25020,28513,53533,27593,อภ.ปราณบุรี,1
1884,72892,71291,144183,42416,อภ.ปราสาท,1
1885,35496,36765,72261,99883,อภ.ปลวกแดง,1
1886,25120,25437,50557,16461,อภ.ปลาปาก,1
1887,16213,16272,32485,11125,อภ.ปลายพระยา,1
1888,19143,19193,38336,11878,อภ.ปะคำ,1
1889,20240,19780,40020,18212,อภ.ปะทิว,1
1890,18783,18069,36852,9680,อภ.ปะนาเระ,1
1891,31865,31128,62993,21700,อภ.ปะเหลียน,1
1892,47401,45178,92579,32621,อภ.ปักธงชัย,1
1893,27104,26754,53858,16109,อภ.ปัว,1
1894,14088,14121,28209,9691,อภ.ปากคาด,1
1895,16533,17110,33643,11343,อภ.ปากชม,1
1896,63148,61989,125137,68512,อภ.ปากช่อง,1
1897,26162,25052,51214,18864,อภ.ปากท่อ,1
1898,38649,39209,77858,26242,อภ.ปากพนัง,1
1899,11595,10924,22519,8662,อภ.ปากพลี,1
1900,16643,16152,32795,11129,อภ.ปากพะยูน,1
1901,26650,23894,50544,24121,อภ.ปากเกร็ด,1
1902,10663,11364,22027,8891,อภ.ปางมะผ้า,1
1903,15174,15145,30319,11203,อภ.ปางศิลาทอง,1
1904,16959,18216,35175,15308,อภ.ปาย,1
1905,14714,13785,28499,12950,อภ.ป่าซาง,1
1906,16022,15983,32005,10158,อภ.ป่าติ้ว,1
1907,22133,21726,43859,15923,อภ.ป่าบอน,1
1908,13829,13265,27094,10837,อภ.ป่าพะยอม,1
1909,5976,5849,11825,4095,อภ.ป่าแดด,1
1910,9848,8919,18767,6758,อภ.ป่าโมก,1
1911,11523,10775,22298,7353,อภ.ผักไห่,1
1912,15437,15516,30953,8501,อภ.ผาขาว,1
1913,56511,55621,112132,41226,อภ.ฝาง,1
1914,13876,13586,27462,9856,อภ.พญาเม็งราย,1
1915,12021,12466,24487,9501,อภ.พนม,1
1916,18754,19178,37932,12440,อภ.พนมดงรัก,1
1917,16757,15874,32631,11322,อภ.พนมทวน,1
1918,36553,34622,71175,30739,อภ.พนมสารคาม,1
1919,30243,30027,60270,17899,อภ.พนมไพร,1
1920,52223,49157,101380,37310,อภ.พนัสนิคม,1
1921,9504,9661,19165,6746,อภ.พนา,1
1922,41787,43505,85292,20497,อภ.พบพระ,1
1923,40043,39554,79597,22089,อภ.พยัคฆภูมิพิสัย,1
1924,25741,24293,50034,21322,อภ.พยุหะคีรี,1
1925,15786,15394,31180,8302,อภ.พยุห์,1
1926,39335,38655,77990,26984,อภ.พรรณานิคม,1
1927,13896,13496,27392,9141,อภ.พรหมคีรี,1
1928,8711,7819,16530,5966,อภ.พรหมบุรี,1
1929,41513,39496,81009,30884,อภ.พรหมพิราม,1
1930,18435,18237,36672,12224,อภ.พระทองคำ,1
1931,37117,33882,70999,25524,อภ.พระนครศรีอยุธยา,1
1932,20018,18351,38369,13444,อภ.พระประแดง,1
1933,22665,21988,44653,16637,อภ.พระพรหม,1
1934,12670,11932,24602,9993,อภ.พระพุทธบาท,1
1935,12714,12168,24882,7702,อภ.พระยืน,1
1936,60648,56107,116755,55716,อภ.พระสมุทรเจดีย์,1
1937,31278,31484,62762,24538,อภ.พระแสง,1
1938,24425,24370,48795,16379,อภ.พรานกระต่าย,1
1939,14352,14537,28889,8230,อภ.พรเจริญ,1
1940,18732,18343,37075,15684,อภ.พร้าว,1
1941,38271,37374,75645,22961,อภ.พล,1
1942,13667,14134,27801,7166,อภ.พลับพลาชัย,1
1943,11342,11812,23154,10847,อภ.พะโต๊ะ,1
1944,23279,22720,45999,17641,อภ.พังโคน,1
1945,27644,26766,54410,23684,อภ.พัฒนานิคม,1
1946,57555,54363,111918,48441,อภ.พาน,1
1947,24190,23388,47578,38633,อภ.พานทอง,1
1948,36804,34727,71531,25867,อภ.พิชัย,1
1949,51826,52570,104396,34474,อภ.พิบูลมังสาหาร,1
1950,12410,12287,24697,8417,อภ.พิบูลย์รักษ์,1
1951,9132,8888,18020,7335,อภ.พิปูน,1
1952,61019,59096,120115,39486,อภ.พิมาย,1
1953,11804,10053,21857,11693,อภ.พุทธมณฑล,1
1954,21264,20326,41590,12324,อภ.พุทไธสง,1
1955,37354,37823,75177,35948,อภ.พุนพิน,1
1956,6828,6499,13327,5110,อภ.ฟากท่า,1
1957,15222,15579,30801,12258,อภ.ภักดีชุมพล,1
1958,13286,12500,25786,8348,อภ.ภาชี,1
1959,13593,13788,27381,8824,อภ.ภูกระดึง,1
1960,6573,6073,12646,5057,อภ.ภูกามยาว,1
