latitude,longitude,geoid_height
4.1051,96.6496,-32.341
4.1051,96.6637,-32.271
4.1051,96.6778,-32.204
4.1051,96.6919,-32.142
4.1051,96.706,-32.087
4.1051,96.7202,-32.04
4.1051,96.7343,-32.002
4.1051,96.7484,-31.972
4.1051,96.7625,-31.95
4.1051,96.7766,-31.935
4.1051,96.7908,-31.926
4.1051,96.8049,-31.918
4.1051,96.819,-31.912
4.1051,96.8331,-31.906
4.1051,96.8472,-31.9
4.1051,96.8614,-31.894
4.1051,96.8755,-31.884
4.1051,96.8896,-31.873
4.1051,96.9037,-31.862
4.1051,96.9178,-31.849
4.1051,96.932,-31.834
4.1051,96.9461,-31.817
4.1051,96.9602,-31.796
4.1051,96.9743,-31.775
4.1051,96.9884,-31.753
4.1201,96,-36.623
4.1201,96.0141,-36.517
4.1201,96.0282,-36.417
4.1201,96.0424,-36.323
4.1201,96.0565,-36.232
4.1201,96.0706,-36.145
4.1201,96.0847,-36.062
4.1201,96.0988,-35.982
4.1201,96.113,-35.907
4.1201,96.1271,-35.833
4.1201,96.1412,-35.761
4.1201,96.1553,-35.687
4.1201,96.1694,-35.613
4.1201,96.1836,-35.542
4.1201,96.1977,-35.471
4.1201,96.2118,-35.404
4.1201,96.2259,-35.344
4.1201,96.2401,-35.287
4.1201,96.2542,-35.229
4.1201,96.2683,-35.17
4.1201,96.2824,-35.109
4.1201,96.2965,-35.046
4.1201,96.3107,-34.978
4.1201,96.3248,-34.909
4.1201,96.3389,-34.836
4.1201,96.353,-34.759
4.1201,96.3671,-34.675
4.1201,96.3813,-34.584
4.1201,96.3954,-34.485
4.1201,96.4095,-34.378
4.1201,96.4236,-34.264
4.1201,96.4377,-34.143
4.1201,96.4519,-34.015
4.1201,96.466,-33.886
4.1201,96.4801,-33.753
4.1201,96.4942,-33.62
4.1201,96.5083,-33.49
4.1201,96.5225,-33.363
4.1201,96.5366,-33.241
4.1201,96.5507,-33.125
4.1201,96.5648,-33.017
4.1201,96.5789,-32.916
4.1201,96.5931,-32.822
4.1201,96.6072,-32.736
4.1201,96.6213,-32.656
4.1201,96.6354,-32.58
4.1201,96.6496,-32.509
4.1201,96.6637,-32.441
4.1201,96.6778,-32.376
4.1201,96.6919,-32.316
4.1201,96.706,-32.26
4.1201,96.7202,-32.211
4.1201,96.7343,-32.171
4.1201,96.7484,-32.138
4.1201,96.7625,-32.112
4.1201,96.7766,-32.093
4.1201,96.7908,-32.077
4.1201,96.8049,-32.063
4.1201,96.819,-32.05
4.1201,96.8331,-32.039
4.1201,96.8472,-32.026
4.1201,96.8614,-32.014
4.1201,96.8755,-31.999
4.1201,96.8896,-31.982
4.1201,96.9037,-31.965
4.1201,96.9178,-31.947
4.1201,96.932,-31.928
4.1201,96.9461,-31.908
4.1201,96.9602,-31.884
4.1201,96.9743,-31.858
4.1201,96.9884,-31.833
4.1351,96,-36.722
4.1351,96.0141,-36.616
4.1351,96.0282,-36.518
4.1351,96.0424,-36.427
4.1351,96.0565,-36.338
4.1351,96.0706,-36.252
4.1351,96.0847,-36.172
4.1351,96.0988,-36.094
4.1351,96.113,-36.022
4.1351,96.1271,-35.95
4.1351,96.1412,-35.88
4.1351,96.1553,-35.81
4.1351,96.1694,-35.739
4.1351,96.1836,-35.669
4.1351,96.1977,-35.604
4.1351,96.2118,-35.541
4.1351,96.2259,-35.486
4.1351,96.2401,-35.431
4.1351,96.2542,-35.375
4.1351,96.2683,-35.317
4.1351,96.2824,-35.257
4.1351,96.2965,-35.195
4.1351,96.3107,-35.127
4.1351,96.3248,-35.057
4.1351,96.3389,-34.986
4.1351,96.353,-34.907
4.1351,96.3671,-34.824
4.1351,96.3813,-34.733
4.1351,96.3954,-34.633
4.1351,96.4095,-34.527
4.1351,96.4236,-34.415
4.1351,96.4377,-34.294
4.1351,96.4519,-34.168
4.1351,96.466,-34.038
4.1351,96.4801,-33.907
4.1351,96.4942,-33.777
4.1351,96.5083,-33.646
4.1351,96.5225,-33.521
4.1351,96.5366,-33.399
4.1351,96.5507,-33.283
4.1351,96.5648,-33.176
4.1351,96.5789,-33.077
4.1351,96.5931,-32.984
4.1351,96.6072,-32.899
4.1351,96.6213,-32.819
4.1351,96.6354,-32.745
4.1351,96.6496,-32.675
4.1351,96.6637,-32.607
4.1351,96.6778,-32.545
4.1351,96.6919,-32.484
4.1351,96.706,-32.43
4.1351,96.7202,-32.38
4.1351,96.7343,-32.338
4.1351,96.7484,-32.301
4.1351,96.7625,-32.271
4.1351,96.7766,-32.245
4.1351,96.7908,-32.223
4.1351,96.8049,-32.203
4.1351,96.819,-32.184
4.1351,96.8331,-32.165
4.1351,96.8472,-32.146
4.1351,96.8614,-32.127
4.1351,96.8755,-32.108
4.1351,96.8896,-32.085
4.1351,96.9037,-32.063
4.1351,96.9178,-32.04
4.1351,96.932,-32.015
4.1351,96.9461,-31.991
4.1351,96.9602,-31.965
4.1351,96.9743,-31.935
4.1351,96.9884,-31.907
4.1501,96,-36.816
4.1501,96.0141,-36.714
4.1501,96.0282,-36.619
4.1501,96.0424,-36.529
4.1501,96.0565,-36.442
4.1501,96.0706,-36.36
4.1501,96.0847,-36.281
4.1501,96.0988,-36.207
4.1501,96.113,-36.137
4.1501,96.1271,-36.07
4.1501,96.1412,-36.003
4.1501,96.1553,-35.936
4.1501,96.1694,-35.869
4.1501,96.1836,-35.804
4.1501,96.1977,-35.741
4.1501,96.2118,-35.682
4.1501,96.2259,-35.627
4.1501,96.2401,-35.574
