index,pop_F,pop_M,pop_MF,hholds,fullname
548,1335,1205,2540,1172,ทต.บ้านนิเวศน์
549,2936,2629,5565,4522,ทต.บ้านปลวกแดง
550,2073,1962,4035,1592,ทต.บ้านปล้อง
551,1226,1024,2250,820,ทต.บ้านปิน
552,3921,3677,7598,4025,ทต.บ้านผือ
553,2373,2258,4631,1820,ทต.บ้านฝาง
554,3502,3528,7030,2844,ทต.บ้านพราน
555,3474,3477,6951,2566,ทต.บ้านมุง
556,1846,1714,3560,1480,ทต.บ้านม่วง
557,572,483,1055,383,ทต.บ้านยาง
558,1981,1696,3677,1655,ทต.บ้านลาด
559,5763,5007,10770,7091,ทต.บ้านสร้าง
560,1654,1595,3249,1616,ทต.บ้านสร้าง
561,2301,2073,4374,1703,ทต.บ้านสวน
562,6331,5772,12103,4488,ทต.บ้านสิงห์
563,8907,8738,17645,6817,ทต.บ้านส้อง
564,1383,1301,2684,1342,ทต.บ้านหมอ
565,4848,4283,9131,3756,ทต.บ้านเกาะ
566,4211,3818,8029,3360,ทต.บ้านเขว้า
567,2987,2962,5949,1960,ทต.บ้านเชียง
568,2257,2290,4547,1948,ทต.บ้านเชี่ยวหลาน
569,7827,7698,15525,4496,ทต.บ้านเดื่อ
570,24104,21162,45266,26853,ทต.บ้านเป็ด
571,3936,3786,7722,2329,ทต.บ้านเป้า
572,9308,8461,17769,11923,ทต.บ้านเพ
573,2518,2397,4915,2204,ทต.บ้านเพชร
574,2855,2780,5635,1733,ทต.บ้านเพชรภูเขียว
575,5613,5141,10754,4948,ทต.บ้านเลือก
576,9521,9777,19298,7725,ทต.บ้านเสด็จ
577,1825,1617,3442,1204,ทต.บ้านเหลื่อม
578,3989,3845,7834,2938,ทต.บ้านเหล่า
579,2028,2019,4047,1692,ทต.บ้านเหล่า
580,1107,1000,2107,880,ทต.บ้านแก่ง
581,1558,1526,3084,929,ทต.บ้านแก้ง
582,2076,1991,4067,1614,ทต.บ้านแท่น
583,3344,2898,6242,2733,ทต.บ้านแป้น
584,4468,4345,8813,3567,ทต.บ้านแพง
585,1041,964,2005,875,ทต.บ้านแพรก
586,1669,1538,3207,1056,ทต.บ้านแพ้ว
587,971,942,1913,889,ทต.บ้านแม่ข่า
588,4883,5052,9935,4877,ทต.บ้านแยง
589,602,596,1198,446,ทต.บ้านแหลม
590,6080,5651,11731,4212,ทต.บ้านแหลม
591,3392,3311,6703,2234,ทต.บ้านแฮด
592,4580,4445,9025,2998,ทต.บ้านโข้ง
593,3297,3003,6300,1865,ทต.บ้านโคก
594,1922,1948,3870,1876,ทต.บ้านโคก
595,2143,1984,4127,1424,ทต.บ้านโคก
596,1607,1425,3032,1602,ทต.บ้านโตนด
597,3380,3130,6510,2013,ทต.บ้านโต้น
598,1441,1392,2833,1409,ทต.บ้านโพธิ์
599,4142,3558,7700,3607,ทต.บ้านโฮ่ง
600,1286,1284,2570,879,ทต.บ้านใหม่
601,1019,916,1935,790,ทต.บ้านใหม่
602,2198,2105,4303,1405,ทต.บ้านใหม่ไชยพจน์
603,1300,1251,2551,1391,ทต.บ้านไร่
604,4104,3931,8035,3384,ทต.บ้านไร่
605,2966,2690,5656,2800,ทต.ปง
606,5540,4995,10535,4099,ทต.ปทุม
607,3288,3073,6361,2116,ทต.ปทุมรัตต์
608,1760,1722,3482,1694,ทต.ปทุมราชวงศา
609,2388,2148,4536,2367,ทต.ประจันตคาม
610,3138,2960,6098,3041,ทต.ประทาย
611,5092,4558,9650,4083,ทต.ประโคนชัย
612,1399,1339,2738,1204,ทต.ปรางค์กู่
613,8674,7942,16616,9308,ทต.ปราณบุรี
614,2438,2204,4642,2996,ทต.ปราสาททอง
615,3251,3119,6370,2011,ทต.ปริก
616,5134,4706,9840,5106,ทต.ปรุใหญ่
617,1875,1699,3574,1303,ทต.ปลักแรด
618,2020,1909,3929,1566,ทต.ปลาปาก
619,4333,3982,8315,2873,ทต.ปลายนา
620,25017,21338,46355,23299,ทต.ปลายบาง
621,3023,3036,6059,2478,ทต.ปลายพระยา
622,3793,3481,7274,2421,ทต.ปอภาร
623,3613,3517,7130,2730,ทต.ปะคำ
624,736,635,1371,874,ทต.ปะทิว
625,5246,5303,10549,2642,ทต.ปะนาเระ
626,3588,3475,7063,2085,ทต.ปะลุรู
627,5650,5637,11287,3398,ทต.ปะโค
628,5408,5045,10453,4844,ทต.ปัว
629,3344,3355,6699,2701,ทต.ปากคาด
630,1780,1687,3467,1540,ทต.ปากชม
631,1706,1567,3273,1324,ทต.ปากดง
632,2014,2084,4098,1621,ทต.ปากตะโก
633,1471,1381,2852,1389,ทต.ปากท่อ
634,3129,3167,6296,2000,ทต.ปากนคร
635,2896,2660,5556,2579,ทต.ปากน้ำ
636,2361,2153,4514,1758,ทต.ปากน้ำ
637,1210,1343,2553,1753,ทต.ปากน้ำ
638,3297,3144,6441,3400,ทต.ปากน้ำชุมพร
639,2489,2320,4809,1978,ทต.ปากน้ำประแส
640,3904,3931,7835,3463,ทต.ปากน้ำปราณ
641,3293,3221,6514,3039,ทต.ปากน้ำหลังสวน
642,4515,4281,8796,3406,ทต.ปากน้ำแหลมสิงห์
643,1707,1576,3283,1523,ทต.ปากพะยูน
644,1845,1753,3598,1890,ทต.ปาย
645,6452,7555,14007,4468,ทต.ปิงโค้ง
646,4017,3726,7743,2767,ทต.ป่ากุมเกาะ
647,2214,2026,4240,1989,ทต.ป่าก่อดำ
648,4585,3902,8487,4141,ทต.ป่าซาง
649,6132,5469,11601,5548,ทต.ป่าซาง
650,4063,3802,7865,2967,ทต.ป่าตันนาครัว
651,1563,1511,3074,1209,ทต.ป่าติ้ว
652,1989,1932,3921,1714,ทต.ป่าบอน
653,6010,5353,11363,5324,ทต.ป่าอ้อดอนชัย
654,3879,3744,7623,3047,ทต.ป่าแงะ
655,2737,2619,5356,2564,ทต.ป่าแดง
656,3248,3109,6357,2408,ทต.ป่าแดด
657,9471,8096,17567,10832,ทต.ป่าแดด
658,6405,5638,12043,4899,ทต.ป่าแมต
659,4622,4276,8898,3593,ทต.ป่าโมก
660,7178,6473,13651,6053,ทต.ป่าไผ่
661,386,335,721,412,ทต.ป๊อกแป๊ก
662,4164,3929,8093,3029,ทต.ผาจุก
663,7770,8071,15841,4714,ทต.ผาสุก
664,4543,4295,8838,3756,ทต.ฝายกวาง
665,2193,2024,4217,2209,ทต.พญาเม็งราย
666,2450,2480,4930,1982,ทต.พนม
667,2756,2470,5226,2179,ทต.พนมทวน
668,6107,5729,11836,3849,ทต.พนมรุ้ง
669,3465,2992,6457,4216,ทต.พนมสารคาม
670,2139,2042,4181,1770,ทต.พนมไพร
671,1441,1293,2734,1104,ทต.พนา
672,3075,3275,6350,2702,ทต.พบพระ
673,4220,3820,8040,4178,ทต.พยัคฆภูมิพิสัย
674,3010,2601,5611,2965,ทต.พยุหะ
675,1973,1941,3914,1401,ทต.พยุห์
676,1286,1147,2433,1448,ทต.พรรณานิคม
677,1645,1528,3173,1301,ทต.พรหมบุรี
678,599,528,1127,544,ทต.พรหมพิราม
679,3440,3349,6789,2677,ทต.พรหมโลก
680,2085,1999,4084,1637,ทต.พระทองคำ
681,1195,1157,2352,1103,ทต.พระธาตุปู่ก่ำ
682,1730,1586,3316,1455,ทต.พระยืน
683,6150,5931,12081,5697,ทต.พระสมุทรเจดีย์
684,4949,4490,9439,6309,ทต.พระอินทราชา
685,3037,3019,6056,2144,ทต.พระเหลา
686,3219,2960,6179,2118,ทต.พระแท่น
687,4559,4187,8746,3667,ทต.พรานกระต่าย
688,5279,5056,10335,3484,ทต.พรเจริญ
689,3897,3620,7517,4128,ทต.พลวง
690,3276,3350,6626,1938,ทต.พลับพลาชัย
691,5466,4920,10386,6199,ทต.พลับพลานารายณ์
692,4607,4611,9218,5885,ทต.พลา
693,4043,3524,7567,4165,ทต.พลายชุมพล
694,3756,3320,7076,3086,ทต.พลิ้ว
695,4101,3625,7726,4737,ทต.พะตง
696,17693,16230,33923,15176,ทต.พะวง
697,741,739,1480,687,ทต.พะโต๊ะ
698,3280,3194,6474,3935,ทต.พังโคน
699,1723,1571,3294,1436,ทต.พัฒนานิคม
700,2925,2642,5567,2599,ทต.พันดอน
701,3074,3006,6080,2072,ทต.พันเสา
702,3257,3017,6274,3745,ทต.พานทอง
703,1412,1317,2729,1123,ทต.พิปูน
704,1747,1628,3375,3428,ทต.พิมพา
705,4232,3645,7877,2888,ทต.พิมาย
706,3463,3305,6768,2396,ทต.พุกร่าง
707,2225,2027,4252,2239,ทต.พุทไธสง
708,4034,3844,7878,2713,ทต.พุมเรียง
709,3773,3613,7386,3013,ทต.พุเตย
710,349,376,725,425,ทต.ฟากท่า
711,2429,2322,4751,1842,ทต.ฟ้าหยาด
712,3728,3237,6965,9486,ทต.ฟ้าฮ่าม
713,2838,2527,5365,2543,ทต.ภาชี
714,3640,3597,7237,2729,ทต.ภูกระดึง
715,1787,1701,3488,1276,ทต.ภูผาม่าน
716,4169,3974,8143,2338,ทต.ภูผาแดง
717,1368,1425,2793,819,ทต.ภูสิงห์
718,3343,2909,6252,3015,ทต.ภูเขียว
719,1413,1456,2869,1573,ทต.ภูเรือ
720,1564,1435,2999,1728,ทต.ภูเวียง
721,3537,3333,6870,3761,ทต.มวกเหล็ก
722,4405,4079,8484,3254,ทต.มหาพราหมณ์
723,1664,1567,3231,1437,ทต.มหาราช
724,2745,2455,5200,2342,ทต.มะกอก
725,1170,982,2152,790,ทต.มะกอกเหนือ
726,914,808,1722,1025,ทต.มะขาม
727,6872,6706,13578,11623,ทต.มะขามคู่
728,981,956,1937,586,ทต.มะค่า
729,4181,4242,8423,1758,ทต.มะรือโบตก
730,2747,2590,5337,2120,ทต.มะอึ
731,8322,7632,15954,8579,ทต.มะเขือแจ้
732,1906,1708,3614,1919,ทต.มัญจาคีรี
733,5313,5309,10622,8035,ทต.มาบข่า
734,4760,4688,9448,6773,ทต.มาบข่าพัฒนา
735,1907,1832,3739,2181,ทต.มาบอำมฤต
736,2420,2417,4837,1194,ทต.มายอ
737,2269,1963,4232,1984,ทต.ม่วงน้อย
738,1637,1496,3133,1586,ทต.ม่วงสามสิบ
739,5195,5059,10254,3491,ทต.ม่วงหวาน
740,2578,2466,5044,1337,ทต.ยะรัง
741,3068,3186,6254,1916,ทต.ยะหริ่ง
742,1220,1258,2478,759,ทต.ยะหา
743,3207,3127,6334,2387,ทต.ยางชุมน้อย
744,4478,4075,8553,3780,ทต.ยางตลาด
745,4673,4600,9273,2557,ทต.ยางหล่อ
746,5629,5410,11039,4003,ทต.ยางฮอม
747,5658,4723,10381,5388,ทต.ยางเนิ้ง
748,4300,4342,8642,2316,ทต.ยายแย้มวัฒนา
749,1537,1520,3057,1086,ทต.ยี่งอ
750,1258,1217,2475,1077,ทต.ย่านดินแดง
751,4176,3588,7764,3794,ทต.ย่านตาขาว
752,3701,3573,7274,3545,ทต.ระหาน
753,5429,4986,10415,5245,ทต.ระแหง
754,2364,2177,4541,1946,ทต.ระโนด
755,2798,2598,5396,2681,ทต.รัตนบุรี
756,25635,23061,48696,30382,ทต.รัษฎา
757,1103,1018,2121,683,ทต.รางกระทุ่ม
758,3623,3637,7260,2567,ทต.รางหวาย
759,3010,3000,6010,1804,ทต.ราชคราม
760,9962,8798,18760,19219,ทต.ราไวย์
761,2210,2009,4219,1561,ทต.รำมะสัก
762,3602,3177,6779,2898,ทต.ริมปิง
763,3825,3712,7537,3509,ทต.รือเสาะ
764,1636,1707,3343,1059,ทต.ร่มเกล้า
765,1788,1598,3386,1198,ทต.ร่วมจิต
766,3102,2972,6074,2169,ทต.ร่องคำ
767,3984,3880,7864,3359,ทต.ร่อนทอง
768,4013,3672,7685,3303,ทต.ร่อนพิบูลย์
769,6549,5906,12455,6031,ทต.ร้องกวาง
770,4131,4169,8300,3379,ทต.ละหานทราย
771,1315,1356,2671,1195,ทต.ละอุ่น
