index,labels,ids,parents,pop_MF,pop_F,pop_M,hholds
334,ทต.ท่าสายลวด,TH/W_/63/ทต.ท่าสายลวด,TH/W_/63,24544,11889,12655,4641
335,ทต.ท่าหลวง,TH/CT/14/ทต.ท่าหลวง,TH/CT/14,8423,4464,3959,4118
336,ทต.ท่าฬ่อ,TH/CT/66/ทต.ท่าฬ่อ,TH/CT/66,3201,1665,1536,1194
337,ทต.ท่าอุเทน,TH/NE/48/ทต.ท่าอุเทน,TH/NE/48,4839,2498,2341,1947
338,ทต.ท่าเกษม,TH/E_/27/ทต.ท่าเกษม,TH/E_/27,3611,1901,1710,1602
339,ทต.ท่าเดื่อ-มืดกา,TH/N_/เชียงใหม่/ทต.ท่าเดื่อ-มืดกา,TH/N_/เชียงใหม่,4293,2202,2091,1859
340,ทต.ท่าเยี่ยม,TH/NE/30/ทต.ท่าเยี่ยม,TH/NE/30,11211,5678,5533,5332
341,ทต.ท่าเรือ,TH/CT/14/ทต.ท่าเรือ,TH/CT/14,6528,3468,3060,3174
342,ทต.ท่าเสด็จ,TH/CT/72/ทต.ท่าเสด็จ,TH/CT/72,13931,7184,6747,4361
343,ทต.ท่าเสา,TH/N_/53/ทต.ท่าเสา,TH/N_/53,14691,7123,7568,7454
344,ทต.ท่าเสา,TH/CT/66/ทต.ท่าเสา,TH/CT/66,1487,738,749,524
345,ทต.ท่าแซะ,TH/S_/86/ทต.ท่าแซะ,TH/S_/86,2034,1076,958,1355
346,ทต.ท่าแพ,TH/S_/นครศรีธรรมราช/ทต.ท่าแพ,TH/S_/นครศรีธรรมราช,4014,2044,1970,1286
347,ทต.ท่าแร่,TH/NE/47/ทต.ท่าแร่,TH/NE/47,6714,3484,3230,2323
348,ทต.ท่าแลง,TH/W_/76/ทต.ท่าแลง,TH/W_/76,6211,3232,2979,2158
349,ทต.ท่าโขลง,TH/CT/16/ทต.ท่าโขลง,TH/CT/16,2277,1217,1060,994
